name,test_auc_roc_score,seed,test_tp,test_tn,test_fn,test_fp,test_se,test_sp,test_mcc,test_acc,test_F1,test_BA
P41743,0.954054054,1233,35,15,2,5,0.945945946,0.75,0.726000488,0.877192982,0.909090909,0.847972973
P42336,0.931730807,1238,562,108,24,66,0.959044369,0.620689655,0.642962189,0.881578947,0.925864909,0.789867012
P42338,0.919035088,1232,173,95,17,25,0.910526316,0.791666667,0.712003784,0.864516129,0.891752577,0.851096491
P42345,0.956605593,1237,353,45,13,23,0.964480874,0.661764706,0.669008682,0.917050691,0.95148248,0.81312279
P42680,1,1232,19,0,0,1,1,0,,0.95,0.974358974,0.5
P42681,1,1231,27,0,0,2,1,0,,0.931034483,0.964285714,0.5
P42684,1,1232,7,0,0,1,1,0,,0.875,0.933333333,0.5
P42685,1,1231,7,0,0,3,1,0,,0.7,0.823529412,0.5
P43250,1,1233,0,5,1,0,0,1,,0.833333333,,0.5
P43403,0.995238095,1236,14,14,0,1,1,0.933333333,0.933333333,0.965517241,0.965517241,0.966666667
P43405,0.959137159,1233,313,15,2,24,0.993650794,0.384615385,0.553918259,0.926553672,0.960122699,0.689133089
P45983,0.931555004,1236,89,37,4,15,0.956989247,0.711538462,0.711957322,0.868965517,0.903553299,0.834263854
P45984,0.896747967,1235,35,23,6,7,0.853658537,0.766666667,0.623373503,0.816901408,0.843373494,0.810162602
P45985,1,1231,2,0,0,1,1,0,,0.666666667,0.8,0.5
P46734,1,1231,0,2,2,0,0,1,,0.5,,0.5
P47811,1,1233,19,2,0,2,1,0.5,0.672592709,0.913043478,0.95,0.75
P48729,1,1239,3,7,2,0,0.6,1,0.683130051,0.833333333,0.75,0.8
P48730,0.973076923,1234,90,13,1,7,0.989010989,0.65,0.739765606,0.927927928,0.957446809,0.819505495
P48736,0.937471461,1234,221,115,19,31,0.920833333,0.787671233,0.721725471,0.870466321,0.898373984,0.854252283
P49137,0.91503268,1236,44,34,7,8,0.862745098,0.80952381,0.673843679,0.838709677,0.854368932,0.836134454
P49336,0.96,1234,25,1,0,4,1,0.2,0.415227399,0.866666667,0.925925926,0.6
P49674,0.989361702,1240,94,4,0,9,1,0.307692308,0.529911853,0.91588785,0.954314721,0.653846154
P49759,0.916049383,1231,26,8,1,7,0.962962963,0.533333333,0.579549214,0.80952381,0.866666667,0.748148148
P49760,0.869047619,1239,14,1,0,5,1,0.166666667,0.350438322,0.75,0.848484848,0.583333333
P49761,1,1231,0,5,3,0,0,1,,0.625,,0.5
P49840,0.887672811,1236,41,51,15,11,0.732142857,0.822580645,0.557946792,0.779661017,0.759259259,0.777361751
P49841,0.966955626,1236,179,104,12,18,0.937172775,0.852459016,0.797368576,0.904153355,0.922680412,0.894815896
P50613,0.91638796,1234,22,8,1,5,0.956521739,0.615384615,0.634391535,0.833333333,0.88,0.785953177
P50750,0.94090714,1240,239,7,2,22,0.991701245,0.24137931,0.402042584,0.911111111,0.952191235,0.616540278
P51451,0.933333333,1238,15,2,0,2,1,0.5,0.664211164,0.894736842,0.9375,0.75
P51617,0.975,1239,10,3,0,1,1,0.75,0.825722824,0.928571429,0.952380952,0.875
P51812,1,1235,13,6,0,1,1,0.857142857,0.892142571,0.95,0.962962963,0.928571429
P51813,0.922222222,1235,15,1,0,5,1,0.166666667,0.353553391,0.761904762,0.857142857,0.583333333
P51955,1,1232,3,10,2,0,0.6,1,0.707106781,0.866666667,0.75,0.8
P52564,0.833333333,1237,0,3,2,0,0,1,,0.6,,0.5
P53350,0.972222222,1239,22,10,2,2,0.916666667,0.833333333,0.75,0.888888889,0.916666667,0.875
P53355,1,1231,2,4,1,0,0.666666667,1,0.730296743,0.857142857,0.8,0.833333333
P53667,0.964912281,1238,19,4,0,5,1,0.444444444,0.593171014,0.821428571,0.88372093,0.722222222
P53671,0.972222222,1231,18,2,0,2,1,0.5,0.670820393,0.909090909,0.947368421,0.75
P53778,0.96969697,1240,10,2,1,1,0.909090909,0.666666667,0.575757576,0.857142857,0.909090909,0.787878788
P53779,0.944408393,1240,62,58,7,9,0.898550725,0.865671642,0.764884461,0.882352941,0.885714286,0.882111183
P54646,1,1231,4,0,0,1,1,0,,0.8,0.888888889,0.5
P54753,1,1237,3,4,0,0,1,1,1,1,1,1
P54756,1,1232,3,1,0,1,1,0.5,0.612372436,0.8,0.857142857,0.75
P54760,0.922550629,1239,60,22,3,7,0.952380952,0.75862069,0.742561574,0.891304348,0.923076923,0.855500821
P54762,1,1233,0,2,2,0,0,1,,0.5,,0.5
P54764,0.777777778,1238,1,2,2,1,0.333333333,0.666666667,0,0.5,0.4,0.5
P57059,1,1231,3,0,0,1,1,0,,0.75,0.857142857,0.5
P63319,1,1231,0,5,4,0,0,1,,0.555555556,,0.5
P68400,0.957088123,1234,40,26,5,3,0.888888889,0.896551724,0.777147644,0.891891892,0.909090909,0.892720307
P70618,1,1231,5,0,0,1,1,0,,0.833333333,0.909090909,0.5
P78368,1,1231,2,3,1,0,0.666666667,1,0.707106781,0.833333333,0.8,0.833333333
P78527,0.942,1237,44,32,6,8,0.88,0.8,0.684117091,0.844444444,0.862745098,0.84
P80192,1,1232,6,2,0,1,1,0.666666667,0.755928946,0.888888889,0.923076923,0.833333333
P90584,0.888888889,1231,0,9,2,0,0,1,,0.818181818,,0.5
Q00526,1,1233,3,0,0,2,1,0,,0.6,0.75,0.5
Q00534,1,1233,43,1,0,2,1,0.333333333,0.564374449,0.956521739,0.977272727,0.666666667
Q00535,0.974264706,1240,31,22,3,2,0.911764706,0.916666667,0.823900265,0.913793103,0.925373134,0.914215686
Q00536,1,1232,3,3,0,0,1,1,1,1,1,1
Q00537,1,1233,3,0,0,1,1,0,,0.75,0.857142857,0.5
Q01279,1,1231,1,3,1,0,0.5,1,0.612372436,0.8,0.666666667,0.75
Q02156,0.964646465,1232,31,15,2,3,0.939393939,0.833333333,0.783349452,0.901960784,0.925373134,0.886363636
